restaurant_id,name,direction,number,email,rating,comments,open_hours,type,key_words,photo_urls
58541466-2961-4e46-b386-2ca29796a74f,La Flauta,"Aribau, 23, Barcelona, Catalunya, 08011, ES",0,,0.0,,,"Seafood Restaurant, Tapas Restaurant",['Seafood Restaurant' 'Tapas Restaurant'],
4c6fc635-1a83-4dc9-a4f0-b524127d7aac,Cervecería Catalana,"Calle Mallorca, 236, Barcelona, Catalunya, 08008, ES",0,,0.0,,,Tapas Restaurant,['Tapas Restaurant'],
f384b5aa-1640-454e-ab75-043b084a25a7,Vinitus,"Carrer del Consell de Cent, 333, Barcelona, Catalunya, 08007, ES",0,,0.0,,,Tapas Restaurant,['Tapas Restaurant'],
55d6e55e-0344-489f-b5aa-f5992e37b241,Porvenir,"Villarroel, 157, Barcelona, Catalunya, 08036, ES",0,,0.0,,,"Mediterranean Restaurant, Seafood Restaurant, Spanish Restaurant",['Mediterranean Restaurant' 'Seafood Restaurant' 'Spanish Restaurant'],
93823d77-1795-43e4-9591-d7858a783fdd,Ciutat Comtal,"Rambla de Catalunya, 18, Barcelona, Catalunya, 08007, ES",0,,0.0,,,"Diner, Tapas Restaurant",['Diner' 'Tapas Restaurant'],
9ed125fb-42d1-4efc-982f-2b2cd9ffa949,Forn Mistral,"Ronda de Sant Antoni, 96, Barcelona, Catalunya, 08001, ES",0,,0.0,,,"Bakery, Restaurant",['Bakery' 'Restaurant'],
966b228d-0a05-4412-b21f-456229da8905,Honest Greens Plaça Catalunya,"Rambla Catalunya, 3, Barcelona, Catalunya, 08007, ES",0,,0.0,,,Mediterranean Restaurant,['Mediterranean Restaurant'],
f31de5f6-3334-453a-9489-d4a30366beec,Parking Pizza,"Calle Londres, 98, Barcelona, Catalunya, 08036, ES",0,,0.0,,,"Pizzeria, Italian Restaurant",['Pizzeria' 'Italian Restaurant'],
2aaa1104-b5f6-4e4a-a1cc-64dfa461f14a,Baluard,"Calle de Provença, 279, Barcelona, Catalunya, 08037, ES",0,,0.0,,,"Bakery, Restaurant",['Bakery' 'Restaurant'],
91900f46-caf3-4938-a94e-26eb91017461,Baluard,"Pau Claris, 188, Barcelona, Catalunya, 08037, ES",0,,0.0,,,"Bakery, Restaurant",['Bakery' 'Restaurant'],
fad1d497-0d67-42cd-854d-9e19db6f4f8c,Ugot Bruncherie,"Calle Viladomat, 138, Barcelona, Catalunya, 08015, ES",0,,0.0,,,Breakfast Spot,['Breakfast Spot'],
5d5e1845-7aff-4c6e-89cc-1444be38343d,Zenith Brunch & Cocktails,"Gran Vía de Les Corts Catalanes, 633, Barcelona, Catalunya, 08007, ES",0,,0.0,,,Breakfast Spot,['Breakfast Spot'],
69181444-26e9-43c1-bc7f-b476241c0841,El Asador de Aranda,"Calle Pau Claris, 70, Barcelona, Catalunya, 08010, ES",0,,0.0,,,"BBQ Joint, Seafood Restaurant, Spanish Restaurant",['BBQ Joint' 'Seafood Restaurant' 'Spanish Restaurant'],
1930297f-e7fb-4686-b756-f65e11df9822,The Egg Lab,"Carrer de Sepúlveda, 80, Barcelona, Catalunya, 08015, ES",0,,0.0,,,Breakfast Spot,['Breakfast Spot'],
3279a403-758d-4641-92d7-53711a18277f,La Caravana,"Carrer de Mozart, 17, Barcelona, Catalunya, 08012, ES",0,,0.0,,,"Falafel Restaurant, Syrian Restaurant",['Falafel Restaurant' 'Syrian Restaurant'],
c848b41f-bc1a-4ab0-b3d7-6dcde1a14ee3,Cruix,"Carrer D'Entença, 57, Barcelona, Catalunya, 08015, ES",0,,0.0,,,Restaurant,['Restaurant'],
28669248-2d5b-41f9-ac50-7c5dc4bb3b9f,Parking Pizza,"Passeig Sant Joan, 56, Barcelona, Catalunya, ES",0,,0.0,,,Pizzeria,['Pizzeria'],
21e71937-50dd-4421-92f5-5be83b50dc54,Casa Lolea Barcelona,"Carrer de Sant Pere Més Alt, 49, Barcelona, Catalunya, 08003, ES",0,,0.0,,,"Mediterranean Restaurant, Tapas Restaurant",['Mediterranean Restaurant' 'Tapas Restaurant'],
4ade56fc-4921-4035-abb1-4686b7b0f07c,Bar Cañete,"Unió, 17, Barcelona, Catalunya, 08001, ES",0,,0.0,,,"Bar, Tapas Restaurant",['Bar' 'Tapas Restaurant'],
f7a1db8d-882f-4ae9-bb7e-e01f6a1a7aa4,Maoz Vegetarian,"Carrer de Ferran, 13, Barcelona, Catalunya, 08002, ES",0,,0.0,,,"Falafel Restaurant, Middle Eastern Restaurant, Vegan and Vegetarian Restaurant","['Falafel Restaurant' 'Middle Eastern Restaurant'
 'Vegan and Vegetarian Restaurant']",
