name,direction,number,email,rating,comments,open_hours,type,key_words,photo_urls
Cerveseria Catalana,"Carrer de Mallorca, 236, Barcelona, B, 08008, ES",+34932160368,,4.3,,,Spanish,['Spanish'],[]
Ciutat Comtal,"Rambla de Catalunya, 18, Barcelona, B, 08007, ES",+34933181997,,4.3,,,"Tapas Bars, Spanish, Catalan",['Tapas Bars' 'Spanish' 'Catalan'],[]
Vinitus,"Carrer Del Consell de Cent, 333, Barcelona, B, 08007, ES",+34933632127,,4.6,,,Tapas Bars,['Tapas Bars'],[]
Taquerías Tamarindo,"Carrer de Aragón, 236, Barcelona, B, 08007, ES",+34930023774,,4.4,,,"Mexican, Tapas Bars",['Mexican' 'Tapas Bars'],[]
Tapeo,"Carrer de Montcada, 29, Barcelona, B, 08003, ES",+34933101607,,4.5,,,"Tapas Bars, Catalan",['Tapas Bars' 'Catalan'],[]
My Fucking Restaurant,"Carrer Nou de la Rambla, 35, Barcelona, B, 08001, ES",+34936397827,,4.4,,,"Catalan, Signature Cuisine",['Catalan' 'Signature Cuisine'],[]
El Asador de Aranda,"Calle Pau Claris, 70, Barcelona, B, 08010, ES",+34933425577,,4.7,,,Steakhouses,['Steakhouses'],[]
Le Romane,"Carrer de Muntaner, 103, Barcelona, B, 08011, ES",+34937069803,,4.9,,,Italian,['Italian'],[]
La Taverneta,"Carrer de Francesc Pujols, 6, Barcelona, B, 08002, ES",+34930111147,,4.9,,,"Mediterranean, Catalan, Tapas Bars",['Mediterranean' 'Catalan' 'Tapas Bars'],[]
Arcano Restaurant Barcelona ,"Carrer dels Mercaders, 10, Barcelona, B, 08003, ES",+34932956467,,4.5,,,"Spanish, Signature Cuisine, Specialty Food",['Spanish' 'Signature Cuisine' 'Specialty Food'],[]
Sensi,"Carrer Ample, 26, Barcelona, B, 08002, ES",+34932956588,,4.4,,,"Tapas/Small Plates, Tapas Bars, Cocktail Bars",['Tapas/Small Plates' 'Tapas Bars' 'Cocktail Bars'],[]
Bodega Biarritz 1881,"Carrer del Vidre, 8, Barcelona, B, 08002, ES",+34618677927,,4.5,,,"Bars, Spanish",['Bars' 'Spanish'],[]
Micu Maku ,"Carrer d'Aribau, 22, Barcelona, B, 08011, ES",+34931584198,,4.6,,,"Arroceria / Paella, Tapas Bars, Cocktail Bars",['Arroceria / Paella' 'Tapas Bars' 'Cocktail Bars'],[]
TAPS,"Carrer de Mare de Deu del Remei, 53, Barcelona, B, 08004, ES",+34930061039,,4.8,,,"Tapas Bars, Beer Bar",['Tapas Bars' 'Beer Bar'],[]
Cañete,"Carrer de la Unió, 17, Barcelona, B, 08001, ES",+34932703458,,4.6,,,"Tapas/Small Plates, Tapas Bars, Spanish",['Tapas/Small Plates' 'Tapas Bars' 'Spanish'],[]
CocoVail Beer Hall Barcelona,"Carrer d'Arago, 284, Barcelona, B, 08009, ES",+34937822479,,4.4,,,"Beer Bar, Burgers, Sandwiches",['Beer Bar' 'Burgers' 'Sandwiches'],[]
Guell,"Calle Nou de la Rambla, 20, Barcelona, B, 08001, ES",+34934122570,,4.5,,,"Tapas/Small Plates, Spanish",['Tapas/Small Plates' 'Spanish'],[]
